2022-04-18 16:37:46:064  INFO main o.s.w.s.m.m.a.RequestMappingHandlerMapping:543 - Mapped "{[/exe/ctn/bbs/DownLoadFile.do]}" onto public void com.inbiznetcorp.SecureAccess.SecureAccessMng.Web.api.act.bbs.act.ExeCtnBBSAction.DonwLoadFile(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse) throws java.lang.Exception
2022-04-18 16:37:46:064  INFO main o.s.w.s.m.m.a.RequestMappingHandlerMapping:543 - Mapped "{[/exe/ctn/bbs/User/{bbsCode}/ListLatestData.do]}" onto public org.springframework.http.ResponseEntity com.inbiznetcorp.SecureAccess.SecureAccessMng.Web.api.act.bbs.act.ExeCtnBBSAction.ListLatestData(java.lang.String)
2022-04-18 16:37:46:065  INFO main o.s.w.s.m.m.a.RequestMappingHandlerMapping:543 - Mapped "{[/exe/ctn/bbs/User/{bbsCode}/SelectOneData.do]}" onto public org.springframework.http.ResponseEntity com.inbiznetcorp.SecureAccess.SecureAccessMng.Web.api.act.bbs.act.ExeCtnBBSAction.SelectOneData(org.springframework.ui.Model,java.lang.String)
2022-04-18 16:37:46:065  INFO main o.s.w.s.m.m.a.RequestMappingHandlerMapping:543 - Mapped "{[/exe/ctn/bbs/User/{bbsCode}/ModifyData.do],methods=[GET]}" onto public java.lang.String com.inbiznetcorp.SecureAccess.SecureAccessMng.Web.api.act.bbs.act.ExeCtnBBSAction.ModifyData(java.lang.String,org.springframework.ui.Model)
2022-04-18 16:37:46:065  INFO main o.s.w.s.m.m.a.RequestMappingHandlerMapping:543 - Mapped "{[/exe/ctn/bbs/User/{bbsCode}/DeleteData.do]}" onto public org.springframework.web.servlet.ModelAndView com.inbiznetcorp.SecureAccess.SecureAccessMng.Web.api.act.bbs.act.ExeCtnBBSAction.DeleteData(java.lang.String,org.springframework.ui.Model)
2022-04-18 16:37:46:066  INFO main o.s.w.s.m.m.a.RequestMappingHandlerMapping:543 - Mapped "{[/exe/ctn/bbs/User/{bbsCode}/RegisterData.do],methods=[POST]}" onto public org.springframework.http.ResponseEntity com.inbiznetcorp.SecureAccess.SecureAccessMng.Web.api.act.bbs.act.ExeCtnBBSAction.RegisterData(java.lang.String)
2022-04-18 16:37:46:066  INFO main o.s.w.s.m.m.a.RequestMappingHandlerMapping:543 - Mapped "{[/exe/ctn/bbs/eqAllowIP.do]}" onto public org.springframework.http.ResponseEntity com.inbiznetcorp.SecureAccess.SecureAccessMng.Web.api.act.bbs.act.ExeCtnBBSAction.eqAllowIP(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse) throws java.lang.Exception
2022-04-18 16:37:46:067  INFO main o.s.w.s.m.m.a.RequestMappingHandlerMapping:543 - Mapped "{[/exe/ctn/bbs/ctnNrlmber.do]}" onto public org.springframework.http.ResponseEntity com.inbiznetcorp.SecureAccess.SecureAccessMng.Web.api.act.bbs.act.ExeCtnBBSAction.ctnNrlmber(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse) throws java.lang.Exception
2022-04-18 16:37:46:068  INFO main o.s.w.s.m.m.a.RequestMappingHandlerMapping:543 - Mapped "{[/comm/api/arsAuth.do]}" onto public void com.inbiznetcorp.SecureAccess.SecureAccessMng.Web.api.act.CommAPIAction.arsAuth(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)
2022-04-18 16:37:46:068  INFO main o.s.w.s.m.m.a.RequestMappingHandlerMapping:543 - Mapped "{[/comm/api/getPublicIP.do]}" onto public java.lang.String com.inbiznetcorp.SecureAccess.SecureAccessMng.Web.api.act.CommAPIAction.ListPagingData(org.springframework.ui.Model,javax.servlet.http.HttpServletRequest)
